번호,종목명,평가액(억원),자산군 내 비중(%),지분율(%)
1251,ELISA OYJ,137.98,0.01,0.14
1252,IPG PHOTONICS CORP,137.92,0.01,0.11
1253,BRUKER CORP,136.84,0.01,0.15
1254,LITHIA MOTORS INC CL A,136.12,0.01,0.16
1255,SEMICONDUCTOR MANUFACTURING,135.86,0.01,0.09
1256,TATNEFT PJSC,135.75,0.01,0.08
1257,HIROSE ELECTRIC CO LTD,135.73,0.01,0.22
1258,HEIDELBERGCEMENT AG,135.27,0.01,0.08
1259,ANGLOGOLD ASHANTI LTD,135.15,0.01,0.13
1260,TEAMVIEWER AG,135.13,0.01,0.11
1261,SUNAC CHINA HOLDINGS LTD,134.66,0.01,0.07
1262,AEGON NV,134.23,0.01,0.15
1263,RAIA DROGASIL SA,134.23,0.01,0.15
1264,SIBANYE STILLWATER LTD,133.85,0.01,0.10
1265,BANCO BTG PACTUAL SA UNIT,133.75,0.01,0.08
1266,NATURA +CO HOLDING S.A.,133.32,0.01,0.09
1267,CHINA NATIONAL BUILDING MA H,133.30,0.01,0.27
1268,UPL LTD,133.23,0.01,0.25
1269,CRODA INTERNATIONAL PLC,132.53,0.01,0.10
1270,OBAYASHI CORP,132.42,0.01,0.20
1271,MALAYAN BANKING BHD,132.06,0.01,0.05
1272,YARA INTERNATIONAL ASA,131.61,0.01,0.11
1273,KAJIMA CORP,131.49,0.01,0.17
1274,ASM PACIFIC TECHNOLOGY,131.23,0.01,0.22
1275,ALASKA AIR GROUP INC,130.50,0.01,0.19
1276,GRUPO AEROPORT DEL SURESTE B,129.93,0.01,0.26
1277,SOUTH32 LTD,129.05,0.01,0.13
1278,WISTRON CORP,128.99,0.01,0.38
1279,KUWAIT FINANCE HOUSE,128.31,0.01,0.07
1280,BHARTI AIRTEL LTD,128.17,0.01,0.03
1281,PTT PCL/FOREIGN,127.78,0.01,0.03
1282,RIYAD BANK,127.52,0.01,0.07
1283,PING AN INSURANCE GROUP CO A,127.28,0.01,0.04
1284,CONTEMPORARY AMPEREX TECHN A,127.25,0.01,0.02
1285,CATCHER TECHNOLOGY CO LTD,127.07,0.01,0.21
1286,AIRPORTS OF THAILAND PCL FOR,125.81,0.01,0.04
1287,ALLEGION PLC,125.70,0.01,0.05
1288,DR. REDDY S LABORATORIES,125.64,0.01,0.10
1289,CIRRUS LOGIC INC,125.16,0.01,0.24
1290,BERKSHIRE HATHAWAY INC CL A,124.88,0.01,0.01
1291,TELSTRA CORP LTD,124.29,0.01,0.04
1292,SUZANO SA,123.80,0.01,0.07
1293,ACCTON TECHNOLOGY CORP,123.71,0.01,0.18
1294,PHARMARON BEIJING CO LTD H,123.00,0.01,0.50
1295,CHINA MERCHANTS BANK A,122.50,0.01,0.04
1296,BALOISE HOLDING AG   REG,122.36,0.01,0.13
1297,HOST HOTELS + RESORTS INC,121.85,0.01,0.11
1298,WM MORRISON SUPERMARKETS,121.77,0.01,0.19
1299,BOE TECHNOLOGY GROUP CO LT A,121.54,0.01,0.04
1300,CHINA LONGYUAN POWER GROUP H,120.75,0.01,0.33
1301,POWER GRID CORP OF INDIA LTD,120.73,0.01,0.08
1302,SINOPHARM GROUP CO H,120.71,0.01,0.33
1303,UNITED INTERNET AG REG SHARE,120.30,0.01,0.14
1304,SHANGHAI INTERNATIONAL AIR A,120.02,0.01,0.08
1305,SM PRIME HOLDINGS INC,119.91,0.01,0.05
1306,NESTLE INDIA LTD,119.52,0.01,0.05
1307,GLOBANT SA,119.39,0.01,0.13
1308,GOLD FIELDS LTD,119.34,0.01,0.13
1309,EMIRATES TELECOM GROUP CO,118.83,0.01,0.03
1310,SAMBA FINANCIAL GROUP,118.76,0.01,0.07
1311,YAMATO HOLDINGS CO LTD,118.28,0.01,0.11
1312,STATE BANK OF INDIA,117.94,0.01,0.03
1313,OTSUKA CORP,117.79,0.01,0.11
1314,NEDBANK GROUP LTD,117.27,0.01,0.24
1315,BEIERSDORF AG,116.98,0.01,0.04
1316,BAJAJ AUTO LTD,116.77,0.01,0.08
1317,SILGAN HOLDINGS INC,116.55,0.01,0.26
1318,JIANGSU HENGRUI MEDICINE C A,116.47,0.01,0.02
1319,VENUSTECH GROUP INC A,116.38,0.01,0.27
1320,BANGKOK DUSIT MED SERVICE F,116.29,0.01,0.10
1321,PTT PCL NVDR,115.90,0.01,0.03
1322,TELE2 AB B SHS,115.73,0.01,0.12
1323,ERSTE GROUP BANK AG,114.72,0.01,0.08
1324,PEGATRON CORP,114.12,0.01,0.18
1325,CONTEMPORARY AMPEREX TECHN A,113.97,0.01,0.02
1326,ADMIRAL GROUP PLC,113.87,0.01,0.09
1327,NEWELL BRANDS INC,113.74,0.01,0.12
1328,BOUYGUES SA,113.08,0.01,0.07
1329,FORTUNE BRANDS HOME + SECURI,113.07,0.01,0.09
1330,RESIDEO TECHNOLOGIES INC,113.02,0.01,0.34
1331,DAITO TRUST CONSTRUCT CO LTD,112.96,0.01,0.16
1332,GECINA SA,112.92,0.01,0.09
1333,MONDI PLC,112.33,0.01,0.18
1334,LUXSHARE PRECISION INDUSTR A,112.01,0.01,0.03
1335,FIRST FINANCIAL HOLDING CO,111.17,0.01,0.10
1336,TATA STEEL LTD,111.16,0.01,0.10
1337,CEMEX SAB CPO,110.77,0.01,0.13
1338,CCR SA,110.38,0.01,0.19
1339,CHINA CITIC BANK CORP LTD H,110.34,0.01,0.15
1340,CEZ AS,110.10,0.01,0.08
1341,CHINA UNICOM HONG KONG LTD,110.04,0.01,0.06
1342,SIAM CEMENT PUB CO FOR REG,109.65,0.01,0.07
1343,MAHINDRA + MAHINDRA LTD,109.64,0.01,0.08
1344,MARUBENI CORP,109.59,0.01,0.09
1345,DOUGLAS EMMETT INC,109.05,0.01,0.20
1346,HUNTINGTON INGALLS INDUSTRIE,108.94,0.01,0.15
1347,MITSUBISHI GAS CHEMICAL CO,108.87,0.01,0.19
1348,ASUSTEK COMPUTER INC,108.83,0.01,0.15
1349,SARTORIUS STEDIM BIOTECH,108.62,0.01,0.02
1350,NEXT PLC,108.40,0.01,0.08
1351,WHARF REAL ESTATE INVESTMENT,108.08,0.01,0.06
1352,MONDI PLC,107.99,0.01,0.18
1353,FOX CORP   CLASS A,107.75,0.01,0.10
1354,MOLSON COORS BEVERAGE CO   B,107.46,0.01,0.11
1355,PERSIMMON PLC,107.28,0.01,0.08
1356,POLYUS PJSC,107.19,0.01,0.04
1357,CONVATEC GROUP PLC,107.16,0.01,0.18
1358,TITAN CO LTD,107.13,0.01,0.05
1359,SIEMENS GAMESA RENEWABLE ENE,107.12,0.01,0.04
1360,TOPBUILD CORP,107.02,0.01,0.16
1361,LUFAX HOLDING LTD,106.88,0.01,0.03
1362,CITIC SECURITIES CO A,106.83,0.01,0.03
1363,INTERCONTINENTAL HOTELS GROU,106.83,0.01,0.08
1364,BOLIDEN AB,106.82,0.01,0.10
1365,M+G PLC,106.79,0.01,0.15
1366,DIRECT LINE INSURANCE GROUP,106.61,0.01,0.16
1367,EMIRATES NBD PJSC,106.53,0.01,0.06
1368,NOMURA REAL ESTATE HOLDINGS,106.41,0.01,0.23
1369,TAIWAN CEMENT,106.31,0.01,0.11
1370,AIRTAC INTERNATIONAL GROUP,106.29,0.01,0.16
1371,BALFOUR BEATTY PLC,106.15,0.01,0.38
1372,OIL + NATURAL GAS CORP LTD,105.78,0.01,0.06
1373,SINGAPORE EXCHANGE LTD,105.77,0.01,0.13
1374,IMPERIAL OIL LTD,105.65,0.01,0.07
1375,SHIMIZU CORP,105.29,0.01,0.17
1376,AMPOL LTD,105.22,0.01,0.18
1377,ELECTROCOMPONENTS PLC,105.14,0.01,0.17
1378,ONO PHARMACEUTICAL CO LTD,105.10,0.01,0.06
1379,WYNDHAM DESTINATIONS INC,105.03,0.01,0.25
1380,ROYAL UNIBREW,104.06,0.01,0.17
1381,IAC/INTERACTIVECORP,102.87,0.01,0.06
1382,POSTAL SAVINGS BANK OF CHI H,102.57,0.01,0.08
1383,XPENG INC   ADR,102.21,0.01,0.05
1384,AAC TECHNOLOGIES HOLDINGS IN,102.15,0.01,0.14
1385,YIHAI INTERNATIONAL HOLDING,101.82,0.01,0.06
1386,CHINA VANKE CO LTD  A,101.58,0.01,0.03
1387,ACS ACTIVIDADES CONS Y SERV,101.43,0.01,0.09
1388,HIWIN TECHNOLOGIES CORP,101.37,0.01,0.21
1389,NTPC LTD,101.26,0.01,0.07
1390,KINROSS GOLD CORP,100.82,0.01,0.30
1391,JOHN WOOD GROUP PLC,100.62,0.01,0.32
1392,BANK OF IRELAND GROUP PLC,100.58,0.01,0.21
1393,S F HOLDING CO LTD A,100.49,0.01,0.02
1394,AZUL SA ADR,100.36,0.01,0.37
1395,SUZHOU GOLD MANTIS CONSTR  A,100.32,0.01,0.25
1396,DISCOVERY LTD,100.26,0.01,0.13
1397,SUN PHARMACEUTICAL INDUS,99.81,0.01,0.05
1398,HAIDILAO INTERNATIONAL HOLDI,99.77,0.01,0.02
1399,HOSHIZAKI CORP,99.70,0.01,0.14
1400,GRUMA S.A.B. B,99.52,0.01,0.19
1401,KGHM POLSKA MIEDZ SA,99.33,0.01,0.09
1402,PKO BANK POLSKI SA,99.10,0.01,0.09
1403,PETROCHINA CO LTD H,98.96,0.01,0.14
1404,KAR AUCTION SERVICES INC,98.75,0.01,0.38
1405,YAGEO CORPORATION,98.73,0.01,0.10
1406,POWER ASSETS HOLDINGS LTD,98.45,0.01,0.08
1407,JAPAN EXCHANGE GROUP INC,98.22,0.01,0.07
1408,TAIWAN COOPERATIVE FINANCIAL,98.15,0.01,0.09
1409,HEINEKEN HOLDING NV,98.14,0.01,0.03
1410,JSR CORP,98.13,0.01,0.14
1411,ABSA GROUP LTD,98.00,0.01,0.13
1412,CEMEX SAB SPONS ADR PART CER,97.96,0.01,0.12
1413,SHAW COMMUNICATIONS INC B,97.88,0.01,0.10
1414,AMDOCS LTD,97.84,0.01,0.10
1415,HERBALIFE NUTRITION LTD,97.52,0.01,0.14
1416,CANADIAN TIRE CORP CLASS A,97.39,0.01,0.12
1417,DIVI S LABORATORIES LTD,97.38,0.01,0.06
1418,INVESTOR AB A SHS,97.21,0.01,0.04
1419,WIPRO LTD,97.12,0.01,0.03
1420,BIM BIRLESIK MAGAZALAR AS,97.08,0.01,0.14
1421,AGCO CORP,97.01,0.01,0.12
1422,TURKIYE GARANTI BANKASI,96.95,0.01,0.15
1423,BORGWARNER INC,96.65,0.01,0.09
1424,HOTAI MOTOR COMPANY LTD,96.60,0.01,0.07
1425,SCENTRE GROUP,96.49,0.01,0.08
1426,MTN GROUP LTD,96.21,0.00,0.12
1427,HDFC LIFE INSURANCE CO LTD,96.10,0.00,0.05
1428,TELKOM INDONESIA PERSERO ADR,95.86,0.00,0.04
1429,SHANDONG HUALU HENGSHENG A,95.71,0.00,0.10
1430,CIMB GROUP HOLDINGS BHD,95.66,0.00,0.08
1431,AMUNDI SA,95.62,0.00,0.05
1432,UNUM GROUP,95.61,0.00,0.19
1433,CANADIAN NATL RAILWAY CO,95.53,0.00,0.23
1434,ZIJIN MINING GROUP CO LTD H,95.45,0.00,0.14
1435,EVEREST RE GROUP LTD,95.37,0.00,0.09
1436,TERADATA CORP,95.26,0.00,0.36
1437,PETROBRAS DISTRIBUIDORA SA,95.10,0.00,0.18
1438,SALZGITTER AG,95.02,0.00,0.55
1439,WILMAR INTERNATIONAL LTD,94.83,0.00,0.04
1440,HARTALEGA HOLDINGS BHD,94.79,0.00,0.08
1441,DECKERS OUTDOOR CORP,94.75,0.00,0.11
1442,BHARAT PETROLEUM CORP LTD,94.26,0.00,0.08
1443,JBS SA,94.08,0.00,0.07
1444,ALROSA PJSC,94.02,0.00,0.13
1445,LOBLAW COMPANIES LTD,93.80,0.00,0.05
1446,SHANGHAI PHARMACEUTICALS A,93.76,0.00,0.17
1447,AGEAS,93.71,0.00,0.08
1448,CLICKS GROUP LTD,93.69,0.00,0.20
1449,HINDALCO INDUSTRIES LTD,93.66,0.00,0.12
1450,UGI CORP,93.64,0.00,0.12
1451,SHANDONG WEIGAO GP MEDICAL H,93.19,0.00,0.08
1452,CITIC LTD,93.13,0.00,0.04
1453,HIKARI TSUSHIN INC,92.75,0.00,0.08
1454,WUHU SANQI INTERACTIVE ENT A,92.74,0.00,0.09
1455,CHINA STATE CONSTRUCTION  A,92.70,0.00,0.03
1456,ADANI GREEN ENERGY LTD,92.36,0.00,0.04
1457,FIRST QUANTUM MINERALS LTD,92.25,0.00,0.07
1458,KINNEVIK AB   B,92.20,0.00,0.07
1459,LOJAS AMERICANAS SA PREF,92.16,0.00,0.14
1460,TEXTRON INC,92.14,0.00,0.08
1461,TREASURY WINE ESTATES LTD,92.12,0.00,0.16
1462,GODREJ CONSUMER PRODUCTS LTD,92.00,0.00,0.08
1463,EREGLI DEMIR VE CELIK FABRIK,91.70,0.00,0.12
1464,VENTURE CORP LTD,91.46,0.00,0.20
1465,CARDLYTICS INC,91.44,0.00,0.21
1466,CHINA TOWER CORP LTD H,91.37,0.00,0.12
1467,AUROBINDO PHARMA LTD,91.19,0.00,0.11
1468,CIPLA LTD,90.78,0.00,0.09
1469,F5 NETWORKS INC,90.61,0.00,0.08
1470,COOPER TIRE + RUBBER,90.56,0.00,0.41
1471,PING AN HEALTHCARE AND TECHN,90.23,0.00,0.06
1472,QIAGEN N.V.,90.22,0.00,0.08
1473,SNAP ON INC,90.03,0.00,0.09
1474,INDUSTRIAL BANK CO LTD  A,89.51,0.00,0.02
1475,BANK OF COMMUNICATIONS CO H,89.23,0.00,0.04
1476,NIPPON STEEL CORP,89.22,0.00,0.07
1477,NCR CORPORATION,89.07,0.00,0.17
1478,ISHARES MSCI TAIWAN ETF,88.90,0.00,0.15
1479,JIANGSU HENGRUI MEDICINE C A,88.72,0.00,0.02
1480,POPULAR INC,88.47,0.00,0.17
1481,LITE ON TECHNOLOGY CORP,88.43,0.00,0.20
1482,SEIKO EPSON CORP,88.24,0.00,0.14
1483,ICICI PRUDENTIAL LIFE INSURA,88.20,0.00,0.08
1484,SHENZHEN INOVANCE TECHNOLO A,88.14,0.00,0.04
1485,OPEN TEXT CORP,87.92,0.00,0.07
1486,CYBERARK SOFTWARE LTD/ISRAEL,87.58,0.00,0.13
1487,AGGREKO PLC,87.36,0.00,0.37
1488,LOUISIANA PACIFIC CORP,87.32,0.00,0.20
1489,MAGNIT  PJSC SPON GDR REGS,87.29,0.00,0.15
1490,CIA SIDERURGICA NACIONAL SA,87.22,0.00,0.10
1491,SOUTHERN COPPER CORP,87.02,0.00,0.02
1492,ECLAT TEXTILE COMPANY LTD,86.97,0.00,0.19
1493,AFYA LTD CLASS A,86.79,0.00,0.70
1494,AVENUE SUPERMARTS LTD,86.17,0.00,0.03
1495,CREDIT SAISON CO LTD,86.06,0.00,0.37
1496,BANCO BRADESCO S.A.,85.91,0.00,0.04
1497,CAPCOM CO LTD,85.43,0.00,0.09
1498,TENAGA NASIONAL BHD,84.90,0.00,0.05
1499,CABOT CORP,84.77,0.00,0.31
1500,B2W CIA DIGITAL,84.42,0.00,0.10
1501,QATAR ISLAMIC BANK,84.07,0.00,0.07
1502,MONOTARO CO LTD,83.93,0.00,0.06
1503,JABIL INC,83.62,0.00,0.12
1504,FIRST MERCHANTS CORP,83.47,0.00,0.38
1505,TAIWAN MOBILE CO LTD,83.41,0.00,0.06
1506,SINOPAC FINANCIAL HOLDINGS,83.30,0.00,0.17
1507,HANSOH PHARMACEUTICAL GROUP,83.25,0.00,0.03
1508,BANK OF THE PHILIPPINE ISLAN,83.17,0.00,0.10
1509,ACI WORLDWIDE INC,82.80,0.00,0.17
1510,ALLY FINANCIAL INC,82.58,0.00,0.06
1511,NIPPON YUSEN KK,82.57,0.00,0.19
1512,PRESIDENT CHAIN STORE CORP,82.55,0.00,0.08
1513,CROCS INC,82.44,0.00,0.18
1514,HUNTSMAN CORP,82.36,0.00,0.14
1515,GERDAU SA PREF,82.35,0.00,0.13
1516,SUMITOMO ELECTRIC INDUSTRIES,82.30,0.00,0.07
1517,CHAOZHOU THREE CIRCLE GROU A,82.18,0.00,0.08
1518,SILICON MOTION TECHNOL ADR,82.00,0.00,0.45
1519,ALPS ALPINE CO LTD,81.99,0.00,0.26
1520,ALFA LAVAL AB,81.97,0.00,0.07
1521,WENDEL,81.54,0.00,0.14
1522,SOC QUIMICA Y MINERA CHILE B,81.21,0.00,0.13
1523,KNIGHT SWIFT TRANSPORTATION,80.77,0.00,0.10
1524,AXALTA COATING SYSTEMS LTD,80.67,0.00,0.11
1525,KBR INC,80.43,0.00,0.19
1526,RICHTER GEDEON NYRT,80.42,0.00,0.16
1527,CHINA DEVELOPMENT FINANCIAL,80.27,0.00,0.15
1528,INDUSTRIES QATAR,80.26,0.00,0.04
1529,COMPASS MINERALS INTERNATION,80.25,0.00,0.35
1530,FOSHAN HAITIAN FLAVOURING  A,80.18,0.00,0.01
1531,ANGLO AMERICAN PLATINUM LTD,79.69,0.00,0.03
1532,PACWEST BANCORP,79.56,0.00,0.25
1533,RICOH CO LTD,79.53,0.00,0.15
1534,COSCO SHIPPING HOLDINGS CO H,79.50,0.00,0.20
1535,MURPHY USA INC,79.45,0.00,0.20
1536,ITT INC,79.38,0.00,0.11
1537,TINGYI (CAYMAN ISLN) HLDG CO,79.27,0.00,0.08
1538,GENTING SINGAPORE LTD,79.14,0.00,0.09
1539,COMMERCIAL INTERNATIONAL BAN,79.08,0.00,0.13
1540,NORTHAM PLATINUM LTD,78.93,0.00,0.10
1541,SWIRE PACIFIC LTD   CL A,78.62,0.00,0.14
1542,MASRAF AL RAYAN,78.40,0.00,0.08
1543,NEXSTAR MEDIA GROUP INC CL A,78.36,0.00,0.15
1544,SHANGHAI PUTAILAI NEW ENER A,78.23,0.00,0.10
1545,LAMB WESTON HOLDINGS INC,77.71,0.00,0.06
1546,KOBE BUSSAN CO LTD,77.68,0.00,0.08
1547,HUA NAN FINANCIAL HOLDINGS C,77.65,0.00,0.09
1548,BANQUE SAUDI FRANSI,77.56,0.00,0.07
1549,FUYAO GLASS INDUSTRY GROUP H,77.37,0.00,0.26
1550,SUEZ,77.21,0.00,0.06
1551,LIGAND PHARMACEUTICALS,77.12,0.00,0.44
1552,SIAM CEMENT PCL NVDR,77.11,0.00,0.05
1553,TIS INC,76.92,0.00,0.13
1554,BEAZLEY PLC,76.80,0.00,0.23
1555,KINGBOARD HOLDINGS LTD,76.79,0.00,0.15
1556,FRESNILLO PLC,76.72,0.00,0.06
1557,CRANE CO,76.47,0.00,0.16
1558,ASSURANT INC,76.24,0.00,0.09
1559,MERITOR INC,76.22,0.00,0.35
1560,MULTICHOICE GROUP LTD,76.07,0.00,0.17
1561,UNIVERSAL ROBINA CORP,76.03,0.00,0.10
1562,SM INVESTMENTS CORP,76.02,0.00,0.03
1563,RPM INTERNATIONAL INC,75.90,0.00,0.06
1564,ENEL AMERICAS SA,75.88,0.00,0.06
1565,RANDSTAD NV,75.51,0.00,0.06
1566,GUOCO GROUP LTD,75.47,0.00,0.04
1567,WESTROCK CO,75.46,0.00,0.06
1568,QBE INSURANCE GROUP LTD,75.37,0.00,0.07
1569,BENCHMARK ELECTRONICS INC,75.36,0.00,0.70
1570,BARRY CALLEBAUT AG REG,75.33,0.00,0.05
1571,SASOL LTD,75.24,0.00,0.12
1572,BRILLIANCE CHINA AUTOMOTIVE,75.21,0.00,0.14
1573,BAOSHAN IRON + STEEL CO A,75.20,0.00,0.03
1574,GONGNIU GROUP CO LTD A,75.14,0.00,0.04
1575,INDUSTRIAS PENOLES SAB DE CV,75.11,0.00,0.10
1576,SUBARU CORP,75.05,0.00,0.04
1577,COVESTRO AG,74.98,0.00,0.06
1578,CIA SANEAMENTO BASICO DE SP,74.97,0.00,0.12
1579,SIGNIFY NV,74.89,0.00,0.13
1580,RYDER SYSTEM INC,74.79,0.00,0.21
1581,TOKYO GAS CO LTD,74.71,0.00,0.07
1582,STARWOOD PROPERTY TRUST INC,74.59,0.00,0.12
1583,ORION OYJ CLASS B,74.07,0.00,0.14
1584,BRITANNIA INDUSTRIES LTD,73.80,0.00,0.06
1585,TRELLEBORG AB B SHS,73.58,0.00,0.13
1586,SIG COMBIBLOC GROUP AG,73.56,0.00,0.09
1587,EVERGREEN MARINE CORP LTD,73.56,0.00,0.10
1588,EURONET WORLDWIDE INC,73.54,0.00,0.09
1589,COLFAX CORP,73.52,0.00,0.15
1590,VERINT SYSTEMS INC,73.51,0.00,0.15
1591,INPEX CORP,73.47,0.00,0.09
1592,SILTRONIC AG,73.39,0.00,0.14
1593,CUBESMART,73.35,0.00,0.10
1594,COMPUTERSHARE LTD,73.34,0.00,0.11
1595,SKF AB B SHARES,73.28,0.00,0.06
1596,SEALED AIR CORP,73.19,0.00,0.09
1597,EVERCORE INC   A,73.19,0.00,0.15
1598,SYNEOS HEALTH INC,73.15,0.00,0.09
1599,X 5 RETAIL GROUP NV REGS GDR,73.06,0.00,0.09
1600,SAUDI BRITISH BANK,72.97,0.00,0.05
1601,SHRIRAM TRANSPORT FINANCE,72.82,0.00,0.18
1602,GUANGDONG INVESTMENT LTD,72.77,0.00,0.06
1603,CITIC SECURITIES CO LTD H,72.75,0.00,0.13
1604,CHINA RESOURCES CEMENT,72.58,0.00,0.08
1605,SCOTTS MIRACLE GRO CO,72.22,0.00,0.06
1606,GREAT WALL MOTOR CO LTD A,72.12,0.00,0.02
1607,NH FOODS LTD,72.10,0.00,0.15
1608,SUMITOMO DAINIPPON PHARMA CO,72.05,0.00,0.11
1609,DIODES INC,71.72,0.00,0.18
1610,TECHNIPFMC PLC,71.64,0.00,0.16
1611,RESONA HOLDINGS INC,71.62,0.00,0.08
1612,AYALA CORPORATION,71.46,0.00,0.06
1613,POWSZECHNY ZAKLAD UBEZPIECZE,71.30,0.00,0.09
1614,BANGKOK BANK PCL FOREIGN REG,71.24,0.00,0.09
1615,CHANGE HEALTHCARE INC,71.05,0.00,0.12
1616,ZOOMLION HEAVY INDUSTRY   H,71.04,0.00,0.39
1617,ISHARES MSCI INDIA ETF,70.94,0.00,0.15
1618,ABU DHABI COMMERCIAL BANK,70.85,0.00,0.06
1619,YAMADA HOLDINGS CO LTD,70.71,0.00,0.13
1620,TAISHIN FINANCIAL HOLDING,70.70,0.00,0.12
1621,THE SHANGHAI COMMERCIAL + SA,70.27,0.00,0.10
1622,BANCO DE CHILE,70.15,0.00,0.06
1623,GLODON CO LTD A,70.13,0.00,0.05
1624,ALLISON TRANSMISSION HOLDING,69.95,0.00,0.13
1625,ALINMA BANK,69.85,0.00,0.07
1626,SUNDRUG CO LTD,69.81,0.00,0.13
1627,JOYY INC,69.73,0.00,0.12
1628,A2A SPA,69.56,0.00,0.13
1629,ADVANTECH CO LTD,69.55,0.00,0.07
1630,KOMERCNI BANKA AS,69.51,0.00,0.11
1631,TELEFONICA BRASIL S.A.,69.49,0.00,0.04
1632,SCIENCE APPLICATIONS INTE,69.48,0.00,0.12
1633,DAILY MAIL+GENERAL TST A NV,69.35,0.00,0.30
1634,FOCUS MEDIA INFORMATION TE A,69.34,0.00,0.03
1635,DONGFENG MOTOR GRP CO LTD H,69.13,0.00,0.18
1636,UNITED THERAPEUTICS CORP,69.06,0.00,0.09
1637,CHINA MINSHENG BANKING COR H,69.00,0.00,0.13
1638,EICHER MOTORS LTD,68.98,0.00,0.07
1639,CREE INC,68.97,0.00,0.05
1640,SELECT MEDICAL HOLDINGS CORP,68.90,0.00,0.17
1641,SIEMENS ENERGY AG,68.87,0.00,0.02
1642,POLSKI KONCERN NAFTOWY ORLEN,68.78,0.00,0.11
1643,TELIA CO AB,68.72,0.00,0.04
1644,KINGSOFT CLOUD HOLDINGS ADR,68.36,0.00,0.07
1645,CHINA TELECOM CORP LTD H,68.35,0.00,0.16
1646,ABIOMED INC,68.28,0.00,0.04
1647,AROUNDTOWN SA,68.26,0.00,0.05
1648,SAUDI ELECTRICITY CO,67.92,0.00,0.03
1649,ENGIE BRASIL ENERGIA SA,67.92,0.00,0.09
1650,TATA CONSUMER PRODUCTS LTD,67.91,0.00,0.08
1651,BANK HAPOALIM BM,67.86,0.00,0.07
1652,STEEL DYNAMICS INC,67.84,0.00,0.08
1653,SAUDI ARABIAN MINING CO,67.77,0.00,0.05
1654,SHANGHAI INTERNATIONAL AIR A,67.73,0.00,0.08
1655,HOSTESS BRANDS INC,67.72,0.00,0.34
1656,ADVANCED INFO SERVICE FOR RG,67.71,0.00,0.04
1657,RUMO SA,67.67,0.00,0.09
1658,SUOFEIYA HOME COLLECTION C A,67.52,0.00,0.17
1659,ISHARES CHINA LARGE CAP ETF,67.51,0.00,0.15
1660,BWX TECHNOLOGIES INC,67.47,0.00,0.11
1661,JG SUMMIT HOLDINGS INC,67.35,0.00,0.06
1662,BAJAJ FINSERV LTD,67.27,0.00,0.03
1663,DELEK US HOLDINGS INC,67.20,0.00,0.52
1664,ROSNEFT OIL CO PJSC,67.18,0.00,0.01
1665,MGIC INVESTMENT CORP,67.13,0.00,0.15
1666,CDK GLOBAL INC,67.11,0.00,0.10
1667,SIAM COMMERCIAL BANK FOREIGN,67.05,0.00,0.06
1668,BANCO SANTANDER  BRASIL UNIT,66.96,0.00,0.02
1669,WUXI APPTEC CO LTD A,66.85,0.00,0.02
1670,INDUS TOWERS LTD,66.70,0.00,0.07
1671,COMMERCIAL INTL BANK GDR REG,66.63,0.00,0.11
1672,BERRY GLOBAL GROUP INC,66.55,0.00,0.08
1673,INGREDION INC,66.22,0.00,0.12
1674,TOKYU FUDOSAN HOLDINGS CORP,66.10,0.00,0.16
1675,BLUEPRINT MEDICINES CORP,66.09,0.00,0.10
1676,ISHARES MSCI MEXICO ETF,66.05,0.00,0.48
1677,CHINA LESSO GROUP HOLDINGS L,66.03,0.00,0.12
1678,COLUMBIA BANKING SYSTEM INC,65.95,0.00,0.24
1679,TSINGTAO BREWERY CO LTD H,65.89,0.00,0.09
1680,EMAAR PROPERTIES PJSC,65.80,0.00,0.09
1681,SONGCHENG PERFORMANCE DEVE A,65.62,0.00,0.09
1682,ULTRAPAR PARTICIPACOES SA,65.58,0.00,0.12
1683,RHB BANK BHD,65.54,0.00,0.11
1684,UNITED TRACTORS TBK PT,65.53,0.00,0.09
1685,ZHEJIANG CHINT ELECTRICS A,65.48,0.00,0.05
1686,BDO UNIBANK INC,65.45,0.00,0.06
1687,DABUR INDIA LTD,65.34,0.00,0.05
1688,LINCOLN NATIONAL CORP,65.22,0.00,0.06
1689,LIXIL CORP,65.09,0.00,0.09
1690,ASSOCIATED BRITISH FOODS PLC,65.06,0.00,0.02
1691,RAYONIER INC,65.02,0.00,0.15
1692,UBE INDUSTRIES LTD,64.98,0.00,0.31
1693,PETRONAS CHEMICALS GROUP BHD,64.86,0.00,0.04
1694,COAL INDIA LTD,64.83,0.00,0.05
1695,GAIL INDIA LTD,64.71,0.00,0.08
1696,ENTAIN PLC,64.53,0.00,0.06
1697,JERONIMO MARTINS,64.45,0.00,0.06
1698,IQIYI INC ADR,64.38,0.00,0.09
1699,ANNALY CAPITAL MANAGEMENT IN,64.28,0.00,0.05
1700,AU OPTRONICS CORP,64.26,0.00,0.12
1701,NATURGY ENERGY GROUP SA,64.24,0.00,0.03
1702,COLRUYT SA,64.24,0.00,0.07
1703,S F HOLDING CO LTD A,64.10,0.00,0.02
1704,GUANGDONG HAID GROUP CO A,64.08,0.00,0.04
1705,ORPEA,63.83,0.00,0.07
1706,HYSAN DEVELOPMENT CO,63.54,0.00,0.15
1707,JSW STEEL LTD,63.39,0.00,0.05
1708,SABIC AGRI NUTRIENTS CO,63.11,0.00,0.06
1709,KLABIN SA   UNIT,63.09,0.00,0.11
1710,SOJITZ CORP,63.08,0.00,0.21
